################################################################################
##                                                                            ##
## This file contains the default FATDMA allocations in a tab separated form. ##
## Lines starting with hash (#) are considered comments.                      ##
##                                                                            ##
################################################################################


1-I	0	1	250 or 750	125 or 375	1	250 or 750	Base Station report*	0	   
	312	1	0 or 1125	877	1	0 or 1125	Data Link Management + general purpose *		   
	602	0, 1, 2 or 3	0 or 1125	12	0, 1, 2 or 3	0 or 1125	General purpose *		   
1-II	125 	1	250 or 750	0 or 500	1	250 or 750	Base Station report*	125	   
	877	1	0 or 1125	312	1	0 or 1125	Data Link Management + general purpose *		   
	12	0, 1, 2 or 3	0 or 1125	602	0, 1, 2 or 3	0 or 1125	General purpose *		   
2-I	1	1	250 or 750	126 or 376	1	250 or 750	Base Station report*	1	   
	313	1	0 or 1125	878	1	0 or 1125	Data Link Management + general purpose *		   
	612	0, 1, 2 or 3	0 or 1125	27	0, 1, 2 or 3	0 or 1125	General purpose *		   
2-II	126	1	250 or 750	1 or 501	1	250 or 750	Base Station report*	126	   
	878	1	0 or 1125	313	1	0 or 1125	Data Link Management + general purpose *		   
	27	0, 1, 2 or 3	0 or 1125	612	0, 1, 2 or 3	0 or 1125	General purpose *		   
3-I	10	1	250 or 750	135 or 385	1	250 or 750	Base Station report*	10	   
	314	1	0 or 1125	879	1	0 or 1125	Data Link Management + general purpose *		   
	619	0, 1, 2 or 3	0 or 1125	37	0, 1, 2 or 3	0 or 1125	General purpose *		   
3-II	135	1	250 or 750	10 or 510	1	250 or 750	Base Station report*	135	   
	879	1	0 or 1125	314	1	0 or 1125	Data Link  Management + general purpose *		   
	37	0, 1, 2 or 3	0 or 1125	619	0, 1, 2 or 3	0 or 1125	General purpose *		   
4-I	11	1	250 or 750	136 or 386	1	250 or 750	Base Station report*	11	   
	627	1	0 or 1125	52	1	0 or 1125	Data Link  Management + general purpose *		   
	327	0, 1, 2 or 3	0 or 1125	902	0, 1, 2 or 3	0 or 1125	General purpose *		   
4-II	136	1	250 or 750	11 or 511	1	250 or 750	Base Station report*	136	   
	52	1	0 or 1125	627	1	0 or 1125	Data Link  Management + general purpose *		   
	902	0, 1, 2 or 3	0 or 1125	327	0, 1, 2 or 3	0 or 1125	General purpose *		   
5-I	19	1	250 or 750	144 or 394	1	250 or 750	Base Station report*	19	   
	628	1	0 or 1125	53	1	0 or 1125	Data Link  Management + general purpose *		   
	337	0, 1, 2 or 3	0 or 1125	912	0, 1, 2 or 3	0 or 1125	General purpose *		   
5-II	144	1	250 or 750	19 or 519	1	250 or 750	Base Station report*	144	   
	53	1	0 or 1125	628	1	0 or 1125	Data Link  Management + general purpose *		   
	912	0, 1, 2 or 3	0 or 1125	337	0, 1, 2 or 3	0 or 1125	General purpose *		   
6-I	20	1	250 or 750	145 or 395	1	250 or 750	Base Station report*	20	   
	629	1	0 or 1125	54	1	0 or 1125	Data Link  Management + general purpose *		   
	352	0, 1, 2 or 3	0 or 1125	887	0, 1, 2 or 3	0 or 1125	General purpose *		   
6-II	145	1	250 or 750	20 or 520	1	250 or 750	Base Station report*	145	   
	54	1	0 or 1125	629	1	0 or 1125	Data Link  Management + general purpose *		   
	887	0, 1, 2 or 3	0 or 1125	352	0, 1, 2 or 3	0 or 1125	General purpose *		   
7-I	21	1	250 or 750	146 or 396	1	250 or 750	Base Station report*	21	   
	362	1	0 or 1125	927	1	0 or 1125	Data Link  Management + general purpose *		   
	637	0, 1, 2 or 3	0 or 1125	62	0, 1, 2 or 3	0 or 1125	General purpose *		   
7-II	146	1	250 or 750	21 or 521	1	250 or 750	Base Station report*	146	   
	927	1	0 or 1125	362	1	0 or 1125	Data Link  Management + general purpose *		   
	62	0, 1, 2 or 3	0 or 1125	637	0, 1, 2 or 3	0 or 1125	General purpose *		   
8-I	25	1	250 or 750	150 or 400	1	250 or 750	Base Station report*	25	   
	363	1	0 or 1125	928	1	0 or 1125	Data Link  Management + general purpose *		   
	652	0, 1, 2 or 3	0 or 1125	77	0, 1, 2 or 3	0 or 1125	General purpose *		   
8-II	150	1	250 or 750	25 or 525	1	250 or 750	Base Station report*	150	   
	928	1	0 or 1125	363	1	0 or 1125	Data Link  Management + general purpose *		   
	77	0, 1, 2 or 3	0 or 1125	652	0, 1, 2 or 3	0 or 1125	General purpose *		 
9-I	26	1	250 or 750	151 or 401	1	250 or 750	Base Station report*	26	   
	364	1	0 or 1125	929	1	0 or 1125	Data Link  Management + general purpose *		   
	662	0, 1, 2 or 3	0 or 1125	87	0, 1, 2 or 3	0 or 1125	General purpose *		   
9-II	151	1	250 or 750	26 or 526	1	250 or 750	Base Station report*	151	   
	929	1	0 or 1125	364	1	0 or 1125	Data Link  Management + general purpose *		   
	87	0, 1, 2 or 3	0 or 1125	662	0, 1, 2 or 3	0 or 1125	General purpose *		   
10-I	35	1	250 or 750	160 or 410	1	250 or 750	Base Station report*	35	   
	677	1	0 or 1125	102	1	0 or 1125	Data Link  Management + general purpose *		   
	369	0, 1, 2 or 3	0 or 1125	937	0, 1, 2 or 3	0 or 1125	General purpose *		   
10-II	160	1	250 or 750	35 or 535	1	250 or 750	Base Station report*	160	   
	102	1	0 or 1125	677	1	0 or 1125	Data Link  Management + general purpose *		   
